runId,condition,test,category,detail,report,reportSha256,responseSha256
i24b-full__generation_none__single_shot__none__r1,generation_none__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24b-full/runs/i24b-full__generation_none__single_shot__none__r1/submission-1/evaluation/report.json,69d3b1c127d64f3abc4dee95d19450600a44c39f0674d55a646ca9763efb09bf,91c36cef81040345a0b69ced22492a7b0896bd11c30aef648fd3782aa382c40c
i24b-full__generation_none__single_shot__none__r1,generation_none__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24b-full/runs/i24b-full__generation_none__single_shot__none__r1/submission-1/evaluation/report.json,69d3b1c127d64f3abc4dee95d19450600a44c39f0674d55a646ca9763efb09bf,91c36cef81040345a0b69ced22492a7b0896bd11c30aef648fd3782aa382c40c
i24b-full__generation_none__single_shot__none__r1,generation_none__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24b-full/runs/i24b-full__generation_none__single_shot__none__r1/submission-1/evaluation/report.json,69d3b1c127d64f3abc4dee95d19450600a44c39f0674d55a646ca9763efb09bf,91c36cef81040345a0b69ced22492a7b0896bd11c30aef648fd3782aa382c40c
i24b-full__generation_none__single_shot__none__r1,generation_none__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24b-full/runs/i24b-full__generation_none__single_shot__none__r1/submission-1/evaluation/report.json,69d3b1c127d64f3abc4dee95d19450600a44c39f0674d55a646ca9763efb09bf,91c36cef81040345a0b69ced22492a7b0896bd11c30aef648fd3782aa382c40c
i24b-full__generation_none__single_shot__none__r1,generation_none__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24b-full/runs/i24b-full__generation_none__single_shot__none__r1/submission-1/evaluation/report.json,69d3b1c127d64f3abc4dee95d19450600a44c39f0674d55a646ca9763efb09bf,91c36cef81040345a0b69ced22492a7b0896bd11c30aef648fd3782aa382c40c
i24b-full__generation_none__single_shot__none__r1,generation_none__single_shot__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i24b-full/runs/i24b-full__generation_none__single_shot__none__r1/submission-1/evaluation/report.json,69d3b1c127d64f3abc4dee95d19450600a44c39f0674d55a646ca9763efb09bf,91c36cef81040345a0b69ced22492a7b0896bd11c30aef648fd3782aa382c40c
i24b-full__generation_none__single_shot__none__r1,generation_none__single_shot__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i24b-full/runs/i24b-full__generation_none__single_shot__none__r1/submission-1/evaluation/report.json,69d3b1c127d64f3abc4dee95d19450600a44c39f0674d55a646ca9763efb09bf,91c36cef81040345a0b69ced22492a7b0896bd11c30aef648fd3782aa382c40c
i24b-full__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24b-full/runs/i24b-full__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,0264fd23e2f24bf9c8b92cc7c51165c2a868eb61b766009049f82c374ea5ef18,8b5683f7b7168e7e3b0aa12e4b2dd988f3da11bcd7aa493aaecfa7420df153e3
i24b-full__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24b-full/runs/i24b-full__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,0264fd23e2f24bf9c8b92cc7c51165c2a868eb61b766009049f82c374ea5ef18,8b5683f7b7168e7e3b0aa12e4b2dd988f3da11bcd7aa493aaecfa7420df153e3
i24b-full__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24b-full/runs/i24b-full__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,0264fd23e2f24bf9c8b92cc7c51165c2a868eb61b766009049f82c374ea5ef18,8b5683f7b7168e7e3b0aa12e4b2dd988f3da11bcd7aa493aaecfa7420df153e3
