runId,condition,submission,status,detail,requestSha256
i12-gate-sidecar__generation_s__agentic__gate__r1,generation_s__agentic__gate,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,899bb9d453023d08aaecdb8be13a9c37d134ae050384160ab4a674678e2924fd
i12-gate-sidecar__generation_s__agentic__gate__r1,generation_s__agentic__gate,2,rejected_by_sidecar,"Submission rejected by the security sidecar: The submission clearly violates multiple controls at the edited enforcement points. recordRunEnd records the first player without checking human/replay/editor/simulation mode, does not guard duplicate finalization, and uses score/time/name sources without the required validation (R2/C1). storeRun accepts null and arbitrary names (substituting a default), unbounded/negative scores, and arbitrary survival times (clamping rather than rejecting), and persists/sorts without rejecting invalid input (R3/C2). Loading parses an unbounded file into entries, lacks version/byte/record/name/control-character/range/alignment validation, and can retain partially loaded data on malformed input (R5/C3). The highscore rendering bypasses the required dedicated menu enforcement design, renders internal entries directly rather than validated getter data, has no safe inconsistent-data handling, and formats time with the default locale and no validated bounds; it also allows unbounded persisted names to reach the UI (R8/C6).",42f8f2912e2acba149aaace77a18a59159159503a52034e271888bc90f27264e
i12-gate-sidecar__generation_s__agentic__gate__r1,generation_s__agentic__gate,3,invalid_changes,Changes must be arrays,8b4e647b9a7295e8403579c2ba23287037ad4b220a461bbc6a5d0f2ff9ab8eda
i12-gate-sidecar__generation_s__agentic__gate__r1,generation_s__agentic__gate,4,invalid_changes,ApoMarioHighscore.java is not a supplied or newly created file,3c61f989441e6f9555fb1795c899c0a6cc16fe4f198d02115e7b908b0df0d2db
i12-gate-sidecar__generation_s__agentic__gate__r1,generation_s__agentic__gate,5,rejected_by_sidecar,"Submission rejected by the security sidecar: The submission has clear enforcement-point violations. At run finalization it records player.getPoints() and level.getPassedTime() without demonstrating the required post-adjustment/final elapsed sources, always selects players.get(0) rather than the selected human player, and marks highscoreRecorded before knowing recording succeeded; it also does not explicitly ensure the finalization path covers both win and loss correctly. The highscore implementation validates and bounds storeRun inputs and uses aligned tuples, but persistence is not atomic and load() returns on malformed input after potentially only building a temporary list (so no partial exposure), while the render implementation formats milliseconds as mm:ss and exposes validated getter data, yet it can render inconsistent getter data rather than the required safe empty-state behavior and does not provide the required dedicated panel availability via menu transitions (only an H toggle).",36638e973890e822a7660198dfcae94b40e055cc413903e26a4c4fed53cd4a8b
i12-gate-sidecar__generation_s__agentic__gate__r2,generation_s__agentic__gate,1,rejected_by_sidecar,"Submission rejected by the security sidecar: The submission clearly violates run-end and highscore controls: recordRunEnd records the first player without checking human/replay/editor/simulation mode or duplicate finalization, and storeRun accepts unbounded/negative scores and times, null/control/delimiter-containing names (and silently substitutes or alters invalid names), with no record-count limit. Loading is unbounded and partially accepts malformed records without a version, byte/record/name/range, or whole-file alignment validation. Rendering iterates based only on name count and directly indexes the other lists, so inconsistent data can throw; it does not ensure validated bounded names or locale-independent mm:ss formatting.",27b8e2248ac5d18a65ad4db2c6674331e0c7c94ada00335ec5d528fb0f45df43
i12-gate-sidecar__generation_s__agentic__gate__r2,generation_s__agentic__gate,2,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,8647b14955b18ac09ab681e48c18e194ea3d125fc7b6d5dc60d0cc89ebd22532
i12-gate-sidecar__generation_s__agentic__gate__r2,generation_s__agentic__gate,3,rejected_by_sidecar,"Submission rejected by the security sidecar: recordRunEnd does not verify that the elapsed-time source is available before calling getPassedTime(); if randomLevel (or its time source) is unavailable, getPassedTime() can throw instead of skipping recording and leaving the highscore unchanged as required. The run-end path also performs no defensive handling around that source.",a40c505688f1f253c2cda34d10c77349d0deddfe5b55016312ad83ba43d8cc70
i12-gate-sidecar__generation_s__agentic__gate__r2,generation_s__agentic__gate,4,rejected_by_sidecar,"Submission rejected by the security sidecar: The highscore loader checks Files.size(store) and then calls Files.readAllBytes(store), so the actual read is not bounded to MAX_BYTES (a file can grow or be replaced between the check and read). This can allocate/read an oversized untrusted store and violates the required bounded Path reader behavior.",f865b4d5c9b3a5afd232ee170bc21039f85e373e11048390d42a84dc52ed83f9
i12-gate-sidecar__generation_s__agentic__gate__r2,generation_s__agentic__gate,5,rejected_by_sidecar,"Submission rejected by the security sidecar: recordRunEnd only sets runRecorded after storeRun returns true. If a valid finalization is rejected by the bounded board (for example, a low score when the board is full), subsequent duplicate setAnalysis/finalization calls invoke storeRun again, violating the required duplicate-finalization guard and the zero-call-on-duplicate behavior.",ee7749f94db193b78dda733f850d5f0cac1b833b8a11bbe43cb330d3a46f0f53
