runId,condition,test,category,detail,report,reportSha256,responseSha256
i03-security-perspectives__generation_sfb__none__r1,generation_sfb__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__generation_sfb__none__r1/submission-1/evaluation/report.json,65fb6c1f16379dca4aca79b4b84de7e63c0ae2a60cc912dd17238660cbb0a906,c71d886a5cd8c128df35f1aa7486a9bdda1bfe0064169ce8f07323e3b913ff94
i03-security-perspectives__generation_sfb__none__r1,generation_sfb__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__generation_sfb__none__r1/submission-1/evaluation/report.json,65fb6c1f16379dca4aca79b4b84de7e63c0ae2a60cc912dd17238660cbb0a906,c71d886a5cd8c128df35f1aa7486a9bdda1bfe0064169ce8f07323e3b913ff94
i03-security-perspectives__generation_sfb__none__r1,generation_sfb__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__generation_sfb__none__r1/submission-1/evaluation/report.json,65fb6c1f16379dca4aca79b4b84de7e63c0ae2a60cc912dd17238660cbb0a906,c71d886a5cd8c128df35f1aa7486a9bdda1bfe0064169ce8f07323e3b913ff94
i03-security-perspectives__generation_sfb__none__r1,generation_sfb__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__generation_sfb__none__r1/submission-1/evaluation/report.json,65fb6c1f16379dca4aca79b4b84de7e63c0ae2a60cc912dd17238660cbb0a906,c71d886a5cd8c128df35f1aa7486a9bdda1bfe0064169ce8f07323e3b913ff94
i03-security-perspectives__generation_sfb__none__r1,generation_sfb__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__generation_sfb__none__r1/submission-1/evaluation/report.json,65fb6c1f16379dca4aca79b4b84de7e63c0ae2a60cc912dd17238660cbb0a906,c71d886a5cd8c128df35f1aa7486a9bdda1bfe0064169ce8f07323e3b913ff94
i03-security-perspectives__generation_sfb__none__r1,generation_sfb__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__generation_sfb__none__r1/submission-1/evaluation/report.json,65fb6c1f16379dca4aca79b4b84de7e63c0ae2a60cc912dd17238660cbb0a906,c71d886a5cd8c128df35f1aa7486a9bdda1bfe0064169ce8f07323e3b913ff94
i03-security-perspectives__generation_sfb__none__r1,generation_sfb__none,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__generation_sfb__none__r1/submission-1/evaluation/report.json,65fb6c1f16379dca4aca79b4b84de7e63c0ae2a60cc912dd17238660cbb0a906,c71d886a5cd8c128df35f1aa7486a9bdda1bfe0064169ce8f07323e3b913ff94
i03-security-perspectives__reuse_b__requirements__r1,reuse_b__requirements,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__reuse_b__requirements__r1/submission-2/evaluation/report.json,14baaa0ac77fcbaeb696315b2404d96d3f632442f581534a8828c8ce0363fcea,3d443bd6b855b6c78644495af25d401d65f76468451b104498a47c652f01fc8c
i03-security-perspectives__reuse_b__overview__r1,reuse_b__overview,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__reuse_b__overview__r1/submission-3/evaluation/report.json,1875c828fa81728ac921b53d86de4076ce7d7cc652eba495e0f2e54c5ef1cfb7,3578f6e0743e315739792e446fff1bcd7c6337a93894fa038b8a6aa93f0fb366
i03-security-perspectives__reuse_b__overview__r1,reuse_b__overview,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__reuse_b__overview__r1/submission-3/evaluation/report.json,1875c828fa81728ac921b53d86de4076ce7d7cc652eba495e0f2e54c5ef1cfb7,3578f6e0743e315739792e446fff1bcd7c6337a93894fa038b8a6aa93f0fb366
i03-security-perspectives__reuse_b__overview__r1,reuse_b__overview,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__reuse_b__overview__r1/submission-3/evaluation/report.json,1875c828fa81728ac921b53d86de4076ce7d7cc652eba495e0f2e54c5ef1cfb7,3578f6e0743e315739792e446fff1bcd7c6337a93894fa038b8a6aa93f0fb366
i03-security-perspectives__reuse_b__overview__r1,reuse_b__overview,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__reuse_b__overview__r1/submission-3/evaluation/report.json,1875c828fa81728ac921b53d86de4076ce7d7cc652eba495e0f2e54c5ef1cfb7,3578f6e0743e315739792e446fff1bcd7c6337a93894fa038b8a6aa93f0fb366
i03-security-perspectives__reuse_b__overview__r1,reuse_b__overview,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__reuse_b__overview__r1/submission-3/evaluation/report.json,1875c828fa81728ac921b53d86de4076ce7d7cc652eba495e0f2e54c5ef1cfb7,3578f6e0743e315739792e446fff1bcd7c6337a93894fa038b8a6aa93f0fb366
i03-security-perspectives__reuse_b__overview__r1,reuse_b__overview,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__reuse_b__overview__r1/submission-3/evaluation/report.json,1875c828fa81728ac921b53d86de4076ce7d7cc652eba495e0f2e54c5ef1cfb7,3578f6e0743e315739792e446fff1bcd7c6337a93894fa038b8a6aa93f0fb366
i03-security-perspectives__reuse_b__overview__r1,reuse_b__overview,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__reuse_b__overview__r1/submission-3/evaluation/report.json,1875c828fa81728ac921b53d86de4076ce7d7cc652eba495e0f2e54c5ef1cfb7,3578f6e0743e315739792e446fff1bcd7c6337a93894fa038b8a6aa93f0fb366
i03-security-perspectives__generation_sfb__boundaries__r1,generation_sfb__boundaries,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__generation_sfb__boundaries__r1/submission-2/evaluation/report.json,116cf97c14338480b8f697678c5ff4de1bd9a2e66f0a1eb8d2dbc1226a77d34b,da8608fe5b3e1cdab4dfadd35e2bdb41f762128378fd9ab2201102874e001467
i03-security-perspectives__generation_sfb__boundaries__r1,generation_sfb__boundaries,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__generation_sfb__boundaries__r1/submission-2/evaluation/report.json,116cf97c14338480b8f697678c5ff4de1bd9a2e66f0a1eb8d2dbc1226a77d34b,da8608fe5b3e1cdab4dfadd35e2bdb41f762128378fd9ab2201102874e001467
i03-security-perspectives__reuse_b__none__r1,reuse_b__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i03-security-perspectives/runs/i03-security-perspectives__reuse_b__none__r1/submission-1/evaluation/report.json,bed9d80dde52edbdd8bf78b38c57b07fc13bb2d121a887cce7f75986fbb056b9,1a23a0d330fcba47d57df259a6b12312dcc2fd5836690ef2cc04ba164feb0d0e
