runId,condition,test,category,detail,report,reportSha256,responseSha256
i05-budget-sensitivity__generation_sfb__boundaries__r1,generation_sfb__boundaries,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i05-budget-sensitivity/runs/i05-budget-sensitivity__generation_sfb__boundaries__r1/submission-1/evaluation/report.json,c0bd453f3e03f7debb3b80065d5c33ab75a5f6bae42df4d1d61a710742ff5c6a,65516ff7f7caa3cbc21bd4b0b6ef9b0cce1badcacbc2ce237d4ea6d7da73fa5b
i05-budget-sensitivity__generation_sfb__boundaries__r1,generation_sfb__boundaries,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i05-budget-sensitivity/runs/i05-budget-sensitivity__generation_sfb__boundaries__r1/submission-1/evaluation/report.json,c0bd453f3e03f7debb3b80065d5c33ab75a5f6bae42df4d1d61a710742ff5c6a,65516ff7f7caa3cbc21bd4b0b6ef9b0cce1badcacbc2ce237d4ea6d7da73fa5b
i05-budget-sensitivity__generation_sfb__boundaries__r1,generation_sfb__boundaries,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i05-budget-sensitivity/runs/i05-budget-sensitivity__generation_sfb__boundaries__r1/submission-1/evaluation/report.json,c0bd453f3e03f7debb3b80065d5c33ab75a5f6bae42df4d1d61a710742ff5c6a,65516ff7f7caa3cbc21bd4b0b6ef9b0cce1badcacbc2ce237d4ea6d7da73fa5b
i05-budget-sensitivity__generation_sfb__boundaries__r1,generation_sfb__boundaries,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i05-budget-sensitivity/runs/i05-budget-sensitivity__generation_sfb__boundaries__r1/submission-1/evaluation/report.json,c0bd453f3e03f7debb3b80065d5c33ab75a5f6bae42df4d1d61a710742ff5c6a,65516ff7f7caa3cbc21bd4b0b6ef9b0cce1badcacbc2ce237d4ea6d7da73fa5b
i05-budget-sensitivity__generation_sfb__boundaries__r1,generation_sfb__boundaries,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i05-budget-sensitivity/runs/i05-budget-sensitivity__generation_sfb__boundaries__r1/submission-1/evaluation/report.json,c0bd453f3e03f7debb3b80065d5c33ab75a5f6bae42df4d1d61a710742ff5c6a,65516ff7f7caa3cbc21bd4b0b6ef9b0cce1badcacbc2ce237d4ea6d7da73fa5b
i05-budget-sensitivity__generation_sfb__boundaries__r1,generation_sfb__boundaries,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i05-budget-sensitivity/runs/i05-budget-sensitivity__generation_sfb__boundaries__r1/submission-1/evaluation/report.json,c0bd453f3e03f7debb3b80065d5c33ab75a5f6bae42df4d1d61a710742ff5c6a,65516ff7f7caa3cbc21bd4b0b6ef9b0cce1badcacbc2ce237d4ea6d7da73fa5b
i05-budget-sensitivity__reuse_sb__boundaries__r1,reuse_sb__boundaries,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i05-budget-sensitivity/runs/i05-budget-sensitivity__reuse_sb__boundaries__r1/submission-2/evaluation/report.json,aae618459f71b8b9fe992f16150b4c3928d3b536c30754b924fee9e0d6523a4a,34e1c6cc97737c0be21a8a55dd0d96f0b3146de487d06fcc853595475326d402
i05-budget-sensitivity__reuse_sb__boundaries__r1,reuse_sb__boundaries,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i05-budget-sensitivity/runs/i05-budget-sensitivity__reuse_sb__boundaries__r1/submission-2/evaluation/report.json,aae618459f71b8b9fe992f16150b4c3928d3b536c30754b924fee9e0d6523a4a,34e1c6cc97737c0be21a8a55dd0d96f0b3146de487d06fcc853595475326d402
i05-budget-sensitivity__reuse_sb__boundaries__r1,reuse_sb__boundaries,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i05-budget-sensitivity/runs/i05-budget-sensitivity__reuse_sb__boundaries__r1/submission-2/evaluation/report.json,aae618459f71b8b9fe992f16150b4c3928d3b536c30754b924fee9e0d6523a4a,34e1c6cc97737c0be21a8a55dd0d96f0b3146de487d06fcc853595475326d402
i05-budget-sensitivity__reuse_sb__boundaries__r1,reuse_sb__boundaries,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i05-budget-sensitivity/runs/i05-budget-sensitivity__reuse_sb__boundaries__r1/submission-2/evaluation/report.json,aae618459f71b8b9fe992f16150b4c3928d3b536c30754b924fee9e0d6523a4a,34e1c6cc97737c0be21a8a55dd0d96f0b3146de487d06fcc853595475326d402
i05-budget-sensitivity__reuse_sb__none__r1,reuse_sb__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i05-budget-sensitivity/runs/i05-budget-sensitivity__reuse_sb__none__r1/submission-1/evaluation/report.json,5a52d6ba6300345a1b9360edc8b24c982f5bb2a6b59094273f8d584713f6c6cc,1ec90635b3f240261444da3b7ea7fc45734db7bd9e47e877df059573f42130dd
i05-budget-sensitivity__reuse_sb__none__r1,reuse_sb__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i05-budget-sensitivity/runs/i05-budget-sensitivity__reuse_sb__none__r1/submission-1/evaluation/report.json,5a52d6ba6300345a1b9360edc8b24c982f5bb2a6b59094273f8d584713f6c6cc,1ec90635b3f240261444da3b7ea7fc45734db7bd9e47e877df059573f42130dd
i05-budget-sensitivity__reuse_sb__none__r1,reuse_sb__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i05-budget-sensitivity/runs/i05-budget-sensitivity__reuse_sb__none__r1/submission-1/evaluation/report.json,5a52d6ba6300345a1b9360edc8b24c982f5bb2a6b59094273f8d584713f6c6cc,1ec90635b3f240261444da3b7ea7fc45734db7bd9e47e877df059573f42130dd
i05-budget-sensitivity__reuse_sb__none__r1,reuse_sb__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i05-budget-sensitivity/runs/i05-budget-sensitivity__reuse_sb__none__r1/submission-1/evaluation/report.json,5a52d6ba6300345a1b9360edc8b24c982f5bb2a6b59094273f8d584713f6c6cc,1ec90635b3f240261444da3b7ea7fc45734db7bd9e47e877df059573f42130dd
