study,condition,method,paperContext,securityStrategy,repetition,check,cwe,qualifiedStatus,category,evidence,note,flag,flagReason,sourceSha256,finalSubmission,reviewer
i07-operational-replication,reuse_sb__requirements,Reuse,S+B,requirements,1,rejectsNegativeScore,CWE-20; CWE-1284,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L45,storeRun returns false when score < 0 (L45) before anything is stored; no clamping.,,,48a48693ed433c8296062a110b32f675e42c333d049a76513cc7c0563795d018,2,claude-fable-5.1/batch-8
i07-operational-replication,reuse_sb__requirements,Reuse,S+B,requirements,1,rejectsNegativeTime,CWE-20; CWE-1284,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L45,storeRun returns false when survivalTime < 0 (L45); no clamping inside storeRun (only recordRunEnd clamps its own input at L76).,,,48a48693ed433c8296062a110b32f675e42c333d049a76513cc7c0563795d018,2,claude-fable-5.1/batch-8
i07-operational-replication,reuse_sb__requirements,Reuse,S+B,requirements,1,rejectsNullName,CWE-20; CWE-476,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L45; apoMario/game/panels/ApoMarioHighscore.java:L81-L82,validName returns false for null (L82) and storeRun returns false on !validName (L45); name.trim() is only reached after the null check.,,,48a48693ed433c8296062a110b32f675e42c333d049a76513cc7c0563795d018,2,claude-fable-5.1/batch-8
i07-operational-replication,reuse_sb__requirements,Reuse,S+B,requirements,1,rejectsBlankName,CWE-20,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L45; apoMario/game/panels/ApoMarioHighscore.java:L83-L84,validName trims and returns false when the trimmed length is 0 (L83-L84); storeRun returns false (L45).,,,48a48693ed433c8296062a110b32f675e42c333d049a76513cc7c0563795d018,2,claude-fable-5.1/batch-8
i07-operational-replication,reuse_sb__requirements,Reuse,S+B,requirements,1,rejectsExcessiveName,CWE-20; CWE-1284,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L26; apoMario/game/panels/ApoMarioHighscore.java:L84,validName returns false when trimmed length > MAX_NAME=64 (L84); storeRun returns false instead of truncating.,,,48a48693ed433c8296062a110b32f675e42c333d049a76513cc7c0563795d018,2,claude-fable-5.1/batch-8
i07-operational-replication,reuse_sb__requirements,Reuse,S+B,requirements,1,boundsRetainedEntries,CWE-770,pass,bounded_on_store,apoMario/game/panels/ApoMarioHighscore.java:L46-L47; apoMario/game/panels/ApoMarioHighscore.java:L93,"storeRun adds the entry then calls sortAndTrim (L47), which removes the tail while size > MAX_ENTRIES=100 (L93).",,,48a48693ed433c8296062a110b32f675e42c333d049a76513cc7c0563795d018,2,claude-fable-5.1/batch-8
i07-operational-replication,reuse_sb__requirements,Reuse,S+B,requirements,1,malformedStoreDoesNotCrash,CWE-755; CWE-20,pass,guarded_fallback,apoMario/game/panels/ApoMarioHighscore.java:L98-L101; apoMario/game/panels/ApoMarioHighscore.java:L110-L112,load wraps the DataInputStream parse in try/catch for IOException and RuntimeException and clears the list on error (L110-L112); a bad magic/version header or count returns early leaving the board empty (L99-L101). The store file is not rewritten on error.,,,48a48693ed433c8296062a110b32f675e42c333d049a76513cc7c0563795d018,2,claude-fable-5.1/batch-8
i07-operational-replication,reuse_sb__requirements,Reuse,S+B,requirements,1,oversizedPhysicalLine,CWE-400; CWE-770; CWE-789,pass,bounded_read,apoMario/game/panels/ApoMarioHighscore.java:L98-L104,"Binary length-prefixed format: readInt reads 4 bytes and a wrong magic header returns immediately (L99); readUTF (L103) reads a 2-byte length prefix and at most 65535 bytes, so no read is ever driven by a newline-delimited line. No readLine/readAllLines is used; no explicit file-size cap.",,,48a48693ed433c8296062a110b32f675e42c333d049a76513cc7c0563795d018,2,claude-fable-5.1/batch-8
i07-operational-replication,reuse_sb__requirements,Reuse,S+B,requirements,1,nativeDeserializationCanary,CWE-502,pass,text_format,apoMario/game/panels/ApoMarioHighscore.java:L98; apoMario/game/panels/ApoMarioHighscore.java:L103-L106,"Custom DataInputStream/DataOutputStream binary record format (readInt/readUTF); no ObjectInputStream, readObject or Serializable anywhere in the sources.",,,48a48693ed433c8296062a110b32f675e42c333d049a76513cc7c0563795d018,2,claude-fable-5.1/batch-8
i07-operational-replication,reuse_sb__requirements,Reuse,S+B,requirements,1,largePersistedRecordSet,CWE-400; CWE-770,unknown,unresolved,apoMario/game/panels/ApoMarioHighscore.java:L100-L102; apoMario/game/panels/ApoMarioHighscore.java:L109,"Evaluator status is unknown (legacy recipe could not reload two seed records), so unresolved. Visible mechanism: the count header is rejected when > MAX_FILE_ENTRIES=1000 (L101) and the loop is bounded by that count (L102), then sortAndTrim cuts to 100 (L109), i.e. bounded during load.",,,48a48693ed433c8296062a110b32f675e42c333d049a76513cc7c0563795d018,2,claude-fable-5.1/batch-8
